PRIMARY_SAMPLE_UNIT,YEAR,MONTH,DAY,STATION_NR,LAT_DEGREES,LON_DEGREES,DEPTH,UNDERWATER_VISIBILITY,MAPGRID_NR,HABITAT_CD,ZONE_NR,SUBREGION_NR,MPA_NR,SPECIES_NR,SPECIES_CD,LEN,NUM,TIME_SEEN,PROT,STRAT,REGION,DEPTH_CLASS,RUGOSITY_CLASS
415U,2006,7,18,1,24.4900667,-81.6713999,5.6,17.5,5284794,SPGR_HR,4,8,0,253,EPI ITAJ,120,0.5,1,0,HRRF,FLA KEYS,NA,NA
415U,2006,7,18,1,24.4900667,-81.6713999,5.6,17.5,5284794,SPGR_HR,4,8,0,253,EPI ITAJ,150,0.5,1,0,HRRF,FLA KEYS,NA,NA
470U,2006,7,18,2,24.4930167,-81.6595,5.8,9.1,5307295,SPGR_HR,4,8,19,253,EPI ITAJ,160,1,1,1,HRRF,FLA KEYS,NA,NA
470U,2006,7,18,2,24.4930167,-81.6595,5.8,9.1,5307295,SPGR_HR,4,8,19,253,EPI ITAJ,110,1,1,1,HRRF,FLA KEYS,NA,NA
476U,2006,9,12,1,24.5001334,-81.7192833,7.6,3.8,5194799,ISOL_MR,2,8,20,253,EPI ITAJ,100,0.5,3,1,MCPR,FLA KEYS,NA,NA
476U,2006,9,12,1,24.5001334,-81.7192833,7.6,3.8,5194799,ISOL_MR,2,8,20,253,EPI ITAJ,125,0.5,3,1,MCPR,FLA KEYS,NA,NA
476U,2006,9,12,1,24.5001334,-81.7192833,7.6,3.8,5194799,ISOL_MR,2,8,20,253,EPI ITAJ,90,0.5,3,1,MCPR,FLA KEYS,NA,NA
124U,2007,9,12,1,24.5055333,-81.7074999,6.7,5.9,5217302,ISOL_MR,2,8,20,253,EPI ITAJ,165,0.5,1,1,MCPR,FLA KEYS,NA,NA
633U,2007,7,31,1,25.0241167,-80.3560166,23.9,13.7,7778839,SPGR_LR,4,11,0,253,EPI ITAJ,120,0.5,2,0,FDLR,FLA KEYS,NA,NA
661U,2007,8,29,1,24.9007833,-80.6179332,4,9.9,7283771,ISOL_MR,2,10,0,253,EPI ITAJ,60,0.5,2,0,MCPR,FLA KEYS,NA,NA
799U,2007,8,8,2,24.5776167,-81.4418666,6.9,8.4,5723592,ISOL_MR,2,8,0,253,EPI ITAJ,200,0.5,1,0,MCPR,FLA KEYS,NA,NA
800U,2007,8,9,1,24.5928334,-81.4150666,6.7,8.4,5772350,ISOL_MR,2,8,0,253,EPI ITAJ,120,0.5,1,0,MCPR,FLA KEYS,NA,NA
856U,2007,7,19,2,24.4476667,-81.8967999,22.6,19.8,4857271,SPGR_LR,4,8,0,253,EPI ITAJ,180,0.5,2,0,FDLR,FLA KEYS,NA,NA
894U,2007,7,18,1,24.4782334,-81.7103666,17.5,13.7,5213537,SPGR_LR,4,8,20,253,EPI ITAJ,120,0.5,1,1,FMLR,FLA KEYS,NA,NA
444U,2008,9,17,1,25.0447833,-80.3667833,5.6,9.9,7760101,ISOL_MR,3,11,0,253,EPI ITAJ,75,0.5,3,0,OFPR,FLA KEYS,NA,NA
464U,2008,9,18,1,25.1378833,-80.26225,7.6,15.2,7955153,SPGR_HR,4,11,2,253,EPI ITAJ,150,0.5,1,1,HRRF,FLA KEYS,NA,NA
687U,2008,8,28,2,24.5449,-81.40835,8.1,15.2,5787324,SPGR_HR,4,8,16,253,EPI ITAJ,130,0.5,1,1,HRRF,FLA KEYS,NA,NA
687U,2008,8,28,1,24.5449,-81.40835,8.7,13.7,5787324,SPGR_HR,4,8,16,253,EPI ITAJ,130,0.5,1,1,HRRF,FLA KEYS,NA,NA
687U,2008,8,28,1,24.5449,-81.40835,8.7,13.7,5787324,SPGR_HR,4,8,16,253,EPI ITAJ,140,0.5,1,1,HRRF,FLA KEYS,NA,NA
717U,2008,8,12,2,24.4538333,-81.8823333,7,9.1,4883524,CONT_LR,4,8,23,253,EPI ITAJ,120,0.5,3,1,FMLR,FLA KEYS,NA,NA
110U,2009,9,8,2,24.48835,-81.6645333,22.1,12.2,5299793,SPGR_LR,4,8,0,253,EPI ITAJ,100,0.5,1,0,FDLR,FLA KEYS,NA,NA
110U,2009,9,8,1,24.48855,-81.6643667,19.2,12.2,5299793,SPGR_LR,4,8,0,253,EPI ITAJ,100,0.5,1,0,FDLR,FLA KEYS,NA,NA
134U,2009,8,13,2,24.4668667,-81.8063167,21.5,9.9,5029781,SPGR_LR,4,8,0,253,EPI ITAJ,85,0.5,1,0,FDLR,FLA KEYS,NA,NA
134U,2009,8,13,2,24.4668667,-81.8063167,21.5,9.9,5029781,SPGR_LR,4,8,0,253,EPI ITAJ,100,0.5,1,0,FDLR,FLA KEYS,NA,NA
140U,2009,9,8,1,24.4816167,-81.66775,25.8,9.1,5292289,SPGR_LR,4,8,0,253,EPI ITAJ,100,0.5,3,0,FDLR,FLA KEYS,NA,NA
141U,2009,8,26,1,24.5021667,-81.5981,22.4,11.4,5427300,SPGR_LR,4,8,0,253,EPI ITAJ,90,0.5,2,0,FDLR,FLA KEYS,NA,NA
170U,2009,8,5,2,24.7276,-80.9252833,6.4,6.3,6702424,ISOL_MR,2,9,0,253,EPI ITAJ,64,0.5,3,0,MCPR,FLA KEYS,NA,NA
170U,2009,8,5,2,24.7276,-80.9252833,6.4,6.3,6702424,ISOL_MR,2,9,0,253,EPI ITAJ,90,0.5,1,0,MCPR,FLA KEYS,NA,NA
170U,2009,8,5,1,24.72775,-80.92495,7.2,6.9,6702425,ISOL_MR,2,9,0,253,EPI ITAJ,130,0.5,1,0,MCPR,FLA KEYS,NA,NA
240U,2009,8,31,2,24.6426333,-81.0468167,17.8,13.7,6473627,SPGR_LR,4,9,0,253,EPI ITAJ,100,0.5,1,0,FDLR,FLA KEYS,NA,NA
410U,2009,6,2,1,24.8231167,-80.6515,23.2,6.9,7223728,SPGR_LR,4,10,0,253,EPI ITAJ,150,0.5,1,0,FDLR,FLA KEYS,NA,NA
423U,2009,9,14,2,25.2038333,-80.2134667,16.6,10.7,8048939,SPGR_LR,4,11,1,253,EPI ITAJ,30,0.5,1,1,FMLR,FLA KEYS,NA,NA
429U,2009,7,16,1,24.8014167,-80.6784667,23.3,8.6,7171215,SPGR_LR,4,10,0,253,EPI ITAJ,127,0.5,3,0,FDLR,FLA KEYS,NA,NA
512U,2009,9,17,1,25.3932169,-80.1297289,18.9,9.6,8202794,SPGR_LR,4,12,0,253,EPI ITAJ,110,0.5,1,0,FDLR,FLA KEYS,NA,NA
522U,2009,5,27,2,25.73165,-80.08795,18.7,10.7,8277982,CONT_LR,4,12,0,253,EPI ITAJ,60,0.5,3,0,FDLR,FLA KEYS,NA,NA
B37U,2009,9,17,2,24.7163167,-80.8253333,32.9,16.8,6893668,SPGR_LR,4,9,0,253,EPI ITAJ,120,0.5,2,0,FDLR,FLA KEYS,NA,NA
B40U,2009,8,31,1,24.6258167,-81.08995,23.6,12.2,6391118,SPGR_LR,4,9,0,253,EPI ITAJ,100,0.5,1,0,FDLR,FLA KEYS,NA,NA
B40U,2009,8,31,2,24.6254333,-81.0902167,21.2,10.7,6391118,SPGR_LR,4,9,0,253,EPI ITAJ,110,0.5,1,0,FDLR,FLA KEYS,NA,NA
D01U,2009,8,13,1,24.459,-81.8458167,9.8,9.9,4954777,SPGR_HR,4,8,21,253,EPI ITAJ,100,0.5,1,1,HRRF,FLA KEYS,NA,NA
410U,2010,7,14,1,24.47837,-81.9477,7,6.1,4759788,ISOL_MR,2,8,0,253,EPI ITAJ,130,0.5,3,0,MCPR,FLA KEYS,NA,NA
427U,2010,7,14,1,24.46389,-81.90609,11.3,7.3,4838530,ISOL_MR,3,8,0,253,EPI ITAJ,125,1,2,0,OFPR,FLA KEYS,NA,NA
623U,2010,8,12,2,24.846,-80.61466,22,9.1,7291240,SPGR_LR,4,10,0,253,EPI ITAJ,110,0.5,1,0,FDLR,FLA KEYS,NA,NA
647U,2010,8,25,1,25.17155,-80.25234,12.5,18.3,7973921,SPGR_HR,3,11,0,253,EPI ITAJ,110,1,2,0,HRRF,FLA KEYS,NA,NA
694U,2010,7,26,1,24.98501,-80.41318,14.5,12.2,7673818,SPGR_LR,4,11,0,253,EPI ITAJ,150,0.5,3,0,FMLR,FLA KEYS,NA,NA
720U,2010,8,18,1,25.05955,-80.32333,28.7,13.7,7842609,SPGR_LR,4,11,0,253,EPI ITAJ,100,1,3,0,FDLR,FLA KEYS,NA,NA
791U,2010,9,26,2,25.5391833,-80.0962333,17.1,11.4,8262875,SPGR_LR,4,12,0,253,EPI ITAJ,125,0.5,1,0,FMLR,FLA KEYS,NA,NA
805U,2010,7,15,1,24.6094,-81.14207,29.3,7.6,6293609,SPGR_LR,4,9,0,253,EPI ITAJ,80,1,2,0,FDLR,FLA KEYS,NA,NA
805U,2010,7,15,2,24.6094,-81.14209,26.8,7.6,6293609,SPGR_LR,4,9,0,253,EPI ITAJ,80,1,2,0,FDLR,FLA KEYS,NA,NA
082U,2011,7,12,2,24.73375,-80.826283,7.3,13.7,6889928,ISOL_MR,3,9,0,253,EPI ITAJ,150,0.5,3,0,OFPR,FLA KEYS,NA,NA
109U,2011,6,10,2,24.782917,-80.701617,25.1,13,7126205,SPGR_LR,4,10,0,253,EPI ITAJ,120,0.5,1,0,FDLR,FLA KEYS,NA,NA
109U,2011,6,10,2,24.782917,-80.701617,25.1,13,7126205,SPGR_LR,4,10,0,253,EPI ITAJ,130,0.5,1,0,FDLR,FLA KEYS,NA,NA
195U,2011,6,8,2,25.15855,-80.239583,25.6,25.9,8000164,SPGR_LR,4,11,0,253,EPI ITAJ,140,0.5,1,0,FDLR,FLA KEYS,NA,NA
263U,2011,8,31,2,25.147217,-80.2557,7.9,18.3,7970158,SPGR_HR,4,11,2,253,EPI ITAJ,135,1,1,1,HRRF,FLA KEYS,NA,NA
312U,2011,7,13,2,24.546433,-81.403167,7.2,9.9,5794824,SPGR_HR,4,8,16,253,EPI ITAJ,120,0.5,1,1,HRRF,FLA KEYS,NA,NA
320U,2011,6,11,2,24.489233,-81.660433,20.7,13,5307293,SPGR_LR,4,8,0,253,EPI ITAJ,110,0.5,3,0,FDLR,FLA KEYS,NA,NA
E04U,2011,6,2,1,24.443383,-81.972783,19.8,10.7,4711019,SPGR_LR,4,8,0,253,EPI ITAJ,120,0.5,3,0,FDLR,FLA KEYS,NA,NA
E17U,2011,6,5,2,24.558183,-81.3348,26.5,9.9,5926081,SPGR_LR,4,8,0,253,EPI ITAJ,150,0.5,1,0,FDLR,FLA KEYS,NA,NA
E17U,2011,6,5,2,24.558183,-81.3348,26.5,9.9,5926081,SPGR_LR,4,8,0,253,EPI ITAJ,120,0.5,1,0,FDLR,FLA KEYS,NA,NA
E17U,2011,6,5,1,24.558217,-81.334767,27.3,10.7,5926081,SPGR_LR,4,8,0,253,EPI ITAJ,120,0.5,1,0,FDLR,FLA KEYS,NA,NA
E17U,2011,6,5,1,24.558217,-81.334767,27.3,10.7,5926081,SPGR_LR,4,8,0,253,EPI ITAJ,150,0.5,1,0,FDLR,FLA KEYS,NA,NA
E22U,2011,6,6,1,25.3849,-80.132483,19.2,9.9,8199040,SPGR_LR,4,12,0,253,EPI ITAJ,120,0.5,3,0,FDLR,FLA KEYS,NA,NA
E22U,2011,6,6,2,25.384817,-80.13275,17.8,8.4,8199040,SPGR_LR,4,12,0,253,EPI ITAJ,130,0.5,2,0,FDLR,FLA KEYS,NA,NA
087U,2012,8,22,2,24.5037167,-81.5858,22,6.1,5449801,SPGR_LR,4,8,0,253,EPI ITAJ,120,1,2,0,FDLR,FLA KEYS,NA,NA
229U,2012,7,18,2,25.0214333,-80.3630167,12,11.4,7767588,SPGR_LR,4,11,0,253,EPI ITAJ,135,0.5,1,0,FMLR,FLA KEYS,NA,NA
248U,2012,6,22,1,25.2192333,-80.2047667,24.7,11.4,8063948,SPGR_LR,4,11,1,253,EPI ITAJ,160,0.5,1,1,FMLR,FLA KEYS,NA,NA
249U,2012,6,22,2,25.2332833,-80.1976167,25.3,11.4,8078956,SPGR_LR,4,11,0,253,EPI ITAJ,150,1,3,0,FDLR,FLA KEYS,NA,NA
424U,2012,9,20,1,25.1473667,-80.25465,9.1,19.8,7970158,SPGR_HR,4,11,2,253,EPI ITAJ,120,1,3,1,HRRF,FLA KEYS,NA,NA
424U,2012,9,20,1,25.1473667,-80.25465,9.1,19.8,7970158,SPGR_HR,4,11,2,253,EPI ITAJ,150,0.5,3,1,HRRF,FLA KEYS,NA,NA
1220U,2014,8,20,2,25.01403,-80.3666,20.4,13.7,1844108,SPGR_HR,4,11,0,253,EPI ITAJ,188,0.5,1,0,HRRF,FLA KEYS,NA,NA
1289U,2014,8,13,1,24.95046,-80.45252,19.1,15.2,1817181,SPGR_HR,4,10,8,253,EPI ITAJ,130,0.5,2,1,HRRF,FLA KEYS,NA,NA
1289U,2014,8,13,2,24.95038,-80.45226,22.9,12.2,1817181,SPGR_HR,4,10,8,253,EPI ITAJ,120,0.5,3,1,HRRF,FLA KEYS,NA,NA
1289U,2014,8,13,1,24.95046,-80.45252,19.1,15.2,1817181,SPGR_HR,4,10,8,253,EPI ITAJ,91,0.5,3,1,HRRF,FLA KEYS,NA,NA
1443U,2016,6,30,2,24.48636,-81.69843,8.7,7,942361,ISOL_LR,4,8,20,253,EPI ITAJ,160,0.5,2,1,FMLR,FLA KEYS,NA,NA
1032U,2018,8,23,2,24.47391,-81.953,9.8,6,912471,ISOL_MR,2,8,0,253,EPI ITAJ,190,0.5,3,0,MCPR,FLA KEYS,NA,NA
1032U,2018,8,23,2,24.47391,-81.953,9.8,6,912471,ISOL_MR,2,8,0,253,EPI ITAJ,200,0.5,1,0,MCPR,FLA KEYS,NA,NA
1100,2022,7,18,1,24.48388,-81.74895,10.9728,6,1983769,CONT_HR,4,8,0,253,EPI ITAJ,120,0.5,1,0,FK07,FLA KEYS,D2,R4
1100,2022,7,18,1,24.48388,-81.74895,10.9728,6,1983769,CONT_HR,4,8,0,253,EPI ITAJ,129,0.5,1,0,FK07,FLA KEYS,D2,R4
1262,2022,7,16,1,24.55041,-81.37764,16.3068,9.5,2186262,SPGR_HR,4,8,0,253,EPI ITAJ,92,0.5,2,0,FK07,FLA KEYS,D2,R4
1262,2022,7,16,1,24.55041,-81.37764,16.3068,9.5,2186262,SPGR_HR,4,8,0,253,EPI ITAJ,107,0.5,3,0,FK07,FLA KEYS,D2,R4
1262,2022,7,16,1,24.55041,-81.37764,16.3068,9.5,2186262,SPGR_HR,4,8,0,253,EPI ITAJ,138,0.5,2,0,FK07,FLA KEYS,D2,R4
1290,2022,8,17,1,24.80942,-80.66986,21.6408,9,3266266,SPGR_HR,4,10,0,253,EPI ITAJ,120,0.5,1,0,FK07,FLA KEYS,D2,R4
1306,2022,9,21,1,25.0245,-80.35512,26.3652,11.5,3627314,ISOL_HR,4,11,0,253,EPI ITAJ,120,0.5,3,0,FK09,FLA KEYS,D3,R4
1306,2022,9,21,1,25.0245,-80.35512,26.3652,11.5,3627314,ISOL_HR,4,11,0,253,EPI ITAJ,120,0.5,2,0,FK09,FLA KEYS,D3,R4
1336,2022,11,15,1,24.72149,-80.81504,29.718,8,2922095,CONT_HR,4,9,0,253,EPI ITAJ,97,0.5,1,0,FK09,FLA KEYS,D3,R4
1340,2022,9,22,1,24.64534,-81.03329,22.555200000000003,6.5,2597383,SPGR_HR,4,9,0,253,EPI ITAJ,94,0.5,3,0,FK09,FLA KEYS,D3,R4
1340,2022,9,22,1,24.64534,-81.03329,22.555200000000003,6.5,2597383,SPGR_HR,4,9,0,253,EPI ITAJ,130,0.5,1,0,FK09,FLA KEYS,D3,R4
1342,2022,8,19,1,24.84321,-80.61706,26.8224,10,3350710,SPGR_HR,4,10,0,253,EPI ITAJ,125,0.5,2,0,FK09,FLA KEYS,D3,R4
1346,2022,8,15,1,24.87135,-80.57406,18.288,12.5,3410591,SPGR_HR,4,10,0,253,EPI ITAJ,130,0.5,1,0,FK07,FLA KEYS,D2,R4
1353,2022,9,21,1,25.02037,-80.35821,29.8704,11,3622256,ISOL_HR,4,11,0,253,EPI ITAJ,172,0.5,1,0,FK09,FLA KEYS,D3,R4
1939,2022,7,16,1,24.54221,-81.40773,22.86,6.5,2156329,ISOL_HR,4,8,0,253,EPI ITAJ,46,0.5,1,0,FK07,FLA KEYS,D2,R4
1939,2022,7,16,1,24.54221,-81.40773,22.86,6.5,2156329,ISOL_HR,4,8,0,253,EPI ITAJ,72,0.5,1,0,FK07,FLA KEYS,D2,R4
1939,2022,7,16,1,24.54221,-81.40773,22.86,6.5,2156329,ISOL_HR,4,8,0,253,EPI ITAJ,84,0.5,1,0,FK07,FLA KEYS,D2,R4
1960,2022,7,18,1,24.47701,-81.72764,13.716,6,1967172,SPGR_MR,4,8,20,253,EPI ITAJ,140,0.5,1,1,FK07,FLA KEYS,D2,R3
8046,2022,8,19,1,25.39041,-80.13177,13.1064,10.5,3991847,SPGR_HR,4,12,0,253,EPI ITAJ,135,0.5,2,0,FK07,FLA KEYS,D2,R4
9093,2022,8,19,1,24.54458,-81.41058,7.010400000000001,12.5,2164481,SPGR_HR,4,8,16,253,EPI ITAJ,120,1,1,1,FK05,FLA KEYS,D1,R4
9112,2022,10,27,1,24.90447,-80.61357,5.0292,8.5,3462293,ISOL_HR,2,10,11,253,EPI ITAJ,100,0.5,1,1,FK02,FLA KEYS,D1,R4
9210,2022,10,27,1,24.90355,-80.60961,4.8768,9,3460933,ISOL_HR,2,10,0,253,EPI ITAJ,120,0.5,3,0,FK02,FLA KEYS,D1,R4
1102,2024,6,26,1,24.50607,-81.61976,8.2296,8,2039465,CONT_LR,4,8,0,253,EPI ITAJ,38,0.5,1,0,FK04,FLA KEYS,D1,R1
1271,2024,7,15,1,24.8851,-80.55144,22.5552,9,3433625,SPGR_HR,4,10,0,253,EPI ITAJ,110,0.5,1,0,FK09,FLA KEYS,D3,R4
1271,2024,7,15,1,24.8851,-80.55144,22.5552,9,3433625,SPGR_HR,4,10,0,253,EPI ITAJ,130,0.5,1,0,FK09,FLA KEYS,D3,R4
1378,2024,6,24,1,24.54253,-81.40983,15.0876,7.5,2157946,SPGR_HR,4,8,16,253,EPI ITAJ,45,0.5,1,1,FK07,FLA KEYS,D2,R3
1378,2024,6,24,1,24.54253,-81.40983,15.0876,7.5,2157946,SPGR_HR,4,8,16,253,EPI ITAJ,65,0.5,1,1,FK07,FLA KEYS,D2,R3
1616,2024,7,16,1,24.84438,-80.61662,21.336,8.5,3353785,SPGR_HR,4,10,0,253,EPI ITAJ,45,0.5,1,0,FK07,FLA KEYS,D2,R4
1671,2024,7,15,1,24.86933,-80.57201,28.956,25,3406417,ISOL_HR,4,10,0,253,EPI ITAJ,125,0.5,1,0,FK09,FLA KEYS,D3,R4
8019,2024,9,12,1,24.89686,-80.62049,3.6576,8,3450907,ISOL_HR,2,10,0,253,EPI ITAJ,80,0.5,1,0,FK02,FLA KEYS,D1,R4
